date,sku_id,product_name,category,price,cost,competitor_price,quantity_sold
2023-01-01,101,Snacks_Product_1,Snacks,22.52,14.88,20.89,3
2023-01-02,101,Snacks_Product_1,Snacks,23.84,14.88,26.0,2
2023-01-03,101,Snacks_Product_1,Snacks,23.31,14.88,23.68,2
2023-01-04,101,Snacks_Product_1,Snacks,24.42,14.88,24.19,2
2023-01-05,101,Snacks_Product_1,Snacks,21.99,14.88,23.59,3
2023-01-06,101,Snacks_Product_1,Snacks,26.29,14.88,23.3,2
2023-01-07,101,Snacks_Product_1,Snacks,26.35,14.88,24.44,2
2023-01-08,101,Snacks_Product_1,Snacks,24.97,14.88,21.53,2
2023-01-09,101,Snacks_Product_1,Snacks,24.19,14.88,21.72,2
2023-01-10,101,Snacks_Product_1,Snacks,23.1,14.88,26.62,3
2023-01-11,101,Snacks_Product_1,Snacks,25.52,14.88,27.23,2
2023-01-12,101,Snacks_Product_1,Snacks,24.9,14.88,23.1,2
2023-01-13,101,Snacks_Product_1,Snacks,22.39,14.88,22.36,3
2023-01-14,101,Snacks_Product_1,Snacks,25.99,14.88,25.05,2
2023-01-15,101,Snacks_Product_1,Snacks,25.56,14.88,23.36,2
2023-01-16,101,Snacks_Product_1,Snacks,26.17,14.88,20.6,2
2023-01-17,101,Snacks_Product_1,Snacks,25.1,14.88,21.54,2
2023-01-18,101,Snacks_Product_1,Snacks,24.56,14.88,25.57,3
2023-01-19,101,Snacks_Product_1,Snacks,23.62,14.88,25.16,3
2023-01-20,101,Snacks_Product_1,Snacks,26.09,14.88,20.61,2
2023-01-21,101,Snacks_Product_1,Snacks,25.77,14.88,22.01,2
2023-01-22,101,Snacks_Product_1,Snacks,21.83,14.88,22.08,3
2023-01-23,101,Snacks_Product_1,Snacks,21.74,14.88,25.25,3
2023-01-24,101,Snacks_Product_1,Snacks,23.42,14.88,20.55,2
2023-01-25,101,Snacks_Product_1,Snacks,25.51,14.88,21.16,2
2023-01-26,101,Snacks_Product_1,Snacks,26.35,14.88,26.17,2
2023-01-27,101,Snacks_Product_1,Snacks,22.34,14.88,21.7,2
2023-01-28,101,Snacks_Product_1,Snacks,24.47,14.88,25.11,2
2023-01-29,101,Snacks_Product_1,Snacks,23.44,14.88,22.13,2
2023-01-30,101,Snacks_Product_1,Snacks,26.27,14.88,21.13,2
2023-01-31,101,Snacks_Product_1,Snacks,25.66,14.88,22.16,2
2023-02-01,101,Snacks_Product_1,Snacks,25.64,14.88,25.62,3
2023-02-02,101,Snacks_Product_1,Snacks,23.86,14.88,26.58,3
2023-02-03,101,Snacks_Product_1,Snacks,23.61,14.88,26.39,3
2023-02-04,101,Snacks_Product_1,Snacks,22.93,14.88,23.27,3
2023-02-05,101,Snacks_Product_1,Snacks,21.88,14.88,25.23,3
2023-02-06,101,Snacks_Product_1,Snacks,25.77,14.88,21.89,3
2023-02-07,101,Snacks_Product_1,Snacks,25.52,14.88,22.52,2
2023-02-08,101,Snacks_Product_1,Snacks,26.41,14.88,26.87,3
2023-02-09,101,Snacks_Product_1,Snacks,26.4,14.88,20.51,2
2023-02-10,101,Snacks_Product_1,Snacks,24.28,14.88,21.03,3
2023-02-11,101,Snacks_Product_1,Snacks,25.31,14.88,21.91,2
2023-02-12,101,Snacks_Product_1,Snacks,26.15,14.88,20.6,2
2023-02-13,101,Snacks_Product_1,Snacks,25.69,14.88,21.72,2
2023-02-14,101,Snacks_Product_1,Snacks,22.8,14.88,24.61,3
2023-02-15,101,Snacks_Product_1,Snacks,23.78,14.88,23.45,3
2023-02-16,101,Snacks_Product_1,Snacks,22.23,14.88,26.84,4
2023-02-17,101,Snacks_Product_1,Snacks,26.2,14.88,26.3,2
2023-02-18,101,Snacks_Product_1,Snacks,24.52,14.88,22.87,3
2023-02-19,101,Snacks_Product_1,Snacks,22.71,14.88,22.28,3
2023-02-20,101,Snacks_Product_1,Snacks,24.84,14.88,23.15,2
2023-02-21,101,Snacks_Product_1,Snacks,24.58,14.88,24.66,3
2023-02-22,101,Snacks_Product_1,Snacks,23.33,14.88,22.34,2
2023-02-23,101,Snacks_Product_1,Snacks,22.16,14.88,24.91,3
2023-02-24,101,Snacks_Product_1,Snacks,24.84,14.88,23.36,2
2023-02-25,101,Snacks_Product_1,Snacks,24.11,14.88,24.39,2
2023-02-26,101,Snacks_Product_1,Snacks,25.32,14.88,23.55,3
2023-02-27,101,Snacks_Product_1,Snacks,24.11,14.88,22.53,2
2023-02-28,101,Snacks_Product_1,Snacks,25.71,14.88,27.25,3
2023-03-01,101,Snacks_Product_1,Snacks,24.26,14.88,25.91,3
2023-03-02,101,Snacks_Product_1,Snacks,24.31,14.88,21.42,2
2023-03-03,101,Snacks_Product_1,Snacks,25.82,14.88,26.67,2
2023-03-04,101,Snacks_Product_1,Snacks,23.55,14.88,23.92,3
2023-03-05,101,Snacks_Product_1,Snacks,22.26,14.88,26.86,3
